window_function,window_length,hop_fraction,PercSS,p_value
boxcar,2000,0.75,4.64538119668401,0.06593406945466995
boxcar,2000,0.5,4.464641437728828,0.06793206930160522
boxcar,2000,0.25,4.505176949298914,0.06493506580591202
boxcar,2000,0.1,4.398888296808152,0.051948051899671555
hann,10,1.0,4.095280859662528,0.046953048557043076
hann,10,0.75,4.0762932724876055,0.03196803107857704
hann,10,0.5,4.085841714720773,0.039960041642189026
hann,10,0.25,4.086451474583666,0.02097902074456215
hann,10,0.1,4.086133482085646,0.04095904156565666
hann,20,1.0,4.210429797974818,0.039960041642189026
hann,20,0.75,4.188262721853491,0.02997002936899662
hann,20,0.5,4.1917079229386625,0.04595404490828514
hann,20,0.25,4.187265762510648,0.026973027735948563
hann,20,0.1,4.184824780286801,0.03396603465080261
hann,40,1.0,4.261645011635222,0.037962038069963455
hann,40,0.75,4.2732942100076645,0.03396603465080261
hann,40,0.5,4.273332004548091,0.032967034727334976
hann,40,0.25,4.25103572527748,0.039960041642189026
hann,40,0.1,4.251279868857126,0.05094905197620392
hann,60,1.0,4.297528146842329,0.03396603465080261
hann,60,0.75,4.214912229916572,0.04795204848051071
hann,60,0.5,4.290933922238365,0.046953048557043076
hann,60,0.25,4.284096345393403,0.049950048327445984
hann,60,0.1,4.283537046950187,0.051948051899671555
hann,100,1.0,4.148995331003724,0.04795204848051071
hann,100,0.75,4.243465133713219,0.05094905197620392
hann,100,0.5,4.254907673641979,0.04895104840397835
hann,100,0.25,4.344735272818202,0.03896103799343109
hann,100,0.1,4.3802712741792,0.0419580414891243
hann,200,1.0,4.254362471664458,0.04095904156565666
hann,200,0.75,4.326053463231878,0.049950048327445984
hann,200,0.5,4.400831517040334,0.051948051899671555
hann,200,0.25,4.383097974803471,0.04395604506134987
hann,200,0.1,4.4050346493182255,0.049950048327445984
hann,400,1.0,4.4070236784657295,0.049950048327445984
hann,400,0.75,4.287592112451711,0.04795204848051071
hann,400,0.5,4.437077616500908,0.03396603465080261
hann,400,0.25,4.383221246154571,0.04095904156565666
hann,400,0.1,4.424965189580202,0.051948051899671555
hann,800,1.0,4.312629533377627,0.06593406945466995
hann,800,0.75,4.528759368126505,0.058941058814525604
hann,800,0.5,4.3212344306138615,0.056943055242300034
hann,800,0.25,4.460855746824173,0.05094905197620392
hann,800,0.1,4.418920035097289,0.053946055471897125
hann,1200,1.0,4.697223197002975,0.05094905197620392
hann,1200,0.75,4.508599941196956,0.05994005873799324
hann,1200,0.5,4.431043877647123,0.06293706595897675
hann,1200,0.25,4.448109301837389,0.05994005873799324
hann,1200,0.1,4.4555590787828825,0.049950048327445984
hann,2000,1.0,4.742397166312174,0.05794205889105797
hann,2000,0.75,4.6291566731431395,0.044955044984817505
hann,2000,0.5,4.5638864084186395,0.05094905197620392
hann,2000,0.25,4.482923269666655,0.053946055471897125
hann,2000,0.1,4.505856654624394,0.035964034497737885
hamming,10,1.0,4.09696036164055,0.03696303814649582
hamming,10,0.75,4.076249711585562,0.025974025949835777
hamming,10,0.5,4.08739365222089,0.03896103799343109
hamming,10,0.25,4.08692924427171,0.026973027735948563
hamming,10,0.1,4.086408732291293,0.030969031155109406
hamming,20,1.0,4.2204959914671845,0.03496503457427025
hamming,20,0.75,4.201292012369756,0.03196803107857704
hamming,20,0.5,4.200184128351815,0.03896103799343109
hamming,20,0.25,4.196468528598512,0.026973027735948563
hamming,20,0.1,4.194520281314816,0.03396603465080261
hamming,40,1.0,4.292694576424331,0.04095904156565666
hamming,40,0.75,4.309844914696506,0.035964034497737885
hamming,40,0.5,4.28454960696782,0.042957041412591934
hamming,40,0.25,4.275184665595045,0.037962038069963455
hamming,40,0.1,4.276849198402396,0.04595404490828514
hamming,60,1.0,4.407002811397498,0.04395604506134987
hamming,60,0.75,4.244480962951335,0.03196803107857704
hamming,60,0.5,4.312299645300316,0.03696303814649582
hamming,60,0.25,4.322314496584402,0.04595404490828514
hamming,60,0.1,4.325630044052207,0.03396603465080261
hamming,100,1.0,4.183211943787963,0.056943055242300034
hamming,100,0.75,4.2810718275680015,0.042957041412591934
hamming,100,0.5,4.374535259310499,0.06393606215715408
hamming,100,0.25,4.370927769018474,0.044955044984817505
hamming,100,0.1,4.381102158854172,0.03696303814649582
hamming,200,1.0,4.6826256397271635,0.058941058814525604
hamming,200,0.75,4.532918501237056,0.06693306565284729
hamming,200,0.5,4.58381257127235,0.04795204848051071
hamming,200,0.25,4.449219211338984,0.042957041412591934
hamming,200,0.1,4.432117972741454,0.042957041412591934
hamming,400,1.0,4.152033101240423,0.06693306565284729
hamming,400,0.75,4.363411371772795,0.05494505539536476
hamming,400,0.5,4.269564701681286,0.07992008328437805
hamming,400,0.25,4.600784492238076,0.0419580414891243
hamming,400,0.1,4.445859604590813,0.05794205889105797
hamming,800,1.0,4.306061709545045,0.06493506580591202
hamming,800,0.75,4.3212118150068815,0.07492507249116898
hamming,800,0.5,4.290188012124827,0.0699300691485405
hamming,800,0.25,4.337821623492627,0.06493506580591202
hamming,800,0.1,4.44642241681572,0.042957041412591934
hamming,1200,1.0,4.674292546223275,0.05294705182313919
hamming,1200,0.75,4.45854795419753,0.06693306565284729
hamming,1200,0.5,4.416572797846139,0.053946055471897125
hamming,1200,0.25,4.440358452674564,0.06793206930160522
hamming,1200,0.1,4.636806236731671,0.06493506580591202
hamming,2000,1.0,4.732083168439961,0.042957041412591934
hamming,2000,0.75,4.561141591789211,0.06793206930160522
hamming,2000,0.5,4.55267064233981,0.08591408282518387
hamming,2000,0.25,4.517738992884462,0.06493506580591202
hamming,2000,0.1,4.477467881355374,0.07892107963562012
