window_function,window_length,hop_fraction,PercSS,p_value
hann,5.0,0.9,2.1874049155233055,0.008991008624434471
hann,5.0,0.8,2.217298495068593,0.00799200776964426
hann,5.0,0.75,2.1299610197436607,0.00799200776964426
hann,5.0,0.5,2.141410367746574,0.0139860138297081
hann,5.0,0.25,2.1150778343128755,0.008991008624434471
hann,5.0,0.2,2.102012528582144,0.016983017325401306
hann,5.0,0.1,2.1046815160134824,0.01498501468449831
hann,10.0,1.0,2.0906093756341466,0.00699300691485405
hann,10.0,0.9,2.2009323858150083,0.008991008624434471
hann,10.0,0.8,2.150553693901975,0.008991008624434471
hann,10.0,0.75,2.158077459046351,0.008991008624434471
hann,10.0,0.5,2.0978125142148802,0.010989011265337467
hann,10.0,0.25,2.12977596757581,0.009990010410547256
hann,10.0,0.2,2.127923442459198,0.008991008624434471
hann,10.0,0.1,2.1263334977808683,0.008991008624434471
hann,15.0,1.0,2.0905525533856344,0.01498501468449831
hann,15.0,0.9,2.177860750462718,0.011988012120127678
hann,15.0,0.8,2.3020685613444405,0.005994006060063839
hann,15.0,0.75,2.2784189453814947,0.005994006060063839
hann,15.0,0.5,2.148108526519216,0.01598401553928852
hann,15.0,0.25,2.145740420516831,0.01498501468449831
hann,15.0,0.2,2.1377156135871354,0.011988012120127678
hann,15.0,0.1,2.1414725734194353,0.005994006060063839
hann,20.0,1.0,2.007086315583312,0.01498501468449831
hann,20.0,0.9,2.0732792685155057,0.009990010410547256
hann,20.0,0.8,2.1208924934338675,0.008991008624434471
hann,20.0,0.75,2.11363363503457,0.010989011265337467
hann,20.0,0.5,2.1489206257517166,0.011988012120127678
hann,20.0,0.25,2.1668948066974703,0.00799200776964426
hann,20.0,0.2,2.1659573438457107,0.00799200776964426
hann,20.0,0.1,2.1818042668225437,0.008991008624434471
hann,25.0,1.0,2.1069160050904356,0.005994006060063839
hann,25.0,0.9,2.135997212593943,0.012987012974917889
hann,25.0,0.8,2.165607508948317,0.010989011265337467
hann,25.0,0.75,2.1812249103096786,0.011988012120127678
hann,25.0,0.5,2.1724573497776887,0.00799200776964426
hann,25.0,0.25,2.231288289086292,0.011988012120127678
hann,25.0,0.2,2.1998770798396556,0.010989011265337467
hann,25.0,0.1,2.218530044384906,0.0139860138297081
hann,30.0,1.0,2.176542831112033,0.008991008624434471
hann,30.0,0.9,2.2205341417474727,0.009990010410547256
hann,30.0,0.8,2.213905599698938,0.0139860138297081
hann,30.0,0.75,2.2160013793511535,0.012987012974917889
hann,30.0,0.5,2.2040234380875203,0.00799200776964426
hann,30.0,0.25,2.2343276939212,0.005994006060063839
hann,30.0,0.2,2.23773472523249,0.0139860138297081
hann,30.0,0.1,2.2520697316747795,0.00799200776964426
hann,60.0,1.0,2.3151163633649223,0.005994006060063839
hann,60.0,0.9,2.3151163633649223,0.012987012974917889
hann,60.0,0.8,2.3151163633649223,0.0029970030300319195
hann,60.0,0.75,2.3151163633649223,0.010989011265337467
hann,60.0,0.5,2.3151163633649223,0.011988012120127678
hann,60.0,0.25,2.3151163633649223,0.005994006060063839
hann,60.0,0.2,2.3151163633649223,0.005994006060063839
hann,60.0,0.1,2.3151163633649223,0.00799200776964426
hamming,0.05,1.0,1.7338048277775013,0.08991008996963501
hamming,0.05,0.9,1.7736843898899173,0.07092907279729843
hamming,0.05,0.8,1.7736843898899173,0.051948051899671555
hamming,0.05,0.75,1.749276455885933,0.06693306565284729
hamming,0.05,0.5,1.7559334075160677,0.07192806899547577
hamming,0.05,0.25,1.7500501686957315,0.07892107963562012
hamming,0.05,0.2,1.7500501686957315,0.0699300691485405
hamming,0.05,0.1,1.7500501686957315,0.07692307978868484
hamming,0.1,1.0,2.0846172677256916,0.028971029445528984
hamming,0.1,0.9,2.014034048141961,0.046953048557043076
hamming,0.1,0.8,2.060195584404559,0.04595404490828514
hamming,0.1,0.75,2.068041660337974,0.035964034497737885
hamming,0.1,0.5,2.018112758651707,0.04895104840397835
hamming,0.1,0.25,2.0413689270072526,0.051948051899671555
hamming,0.1,0.2,2.0413689270072526,0.04895104840397835
hamming,0.1,0.1,2.0418734770805584,0.044955044984817505
hamming,0.25,1.0,2.102232340404838,0.017982017248868942
hamming,0.25,0.9,2.155839252378912,0.024975024163722992
hamming,0.25,0.8,2.0769327869514327,0.028971029445528984
hamming,0.25,0.75,2.0912331333643763,0.0279720276594162
hamming,0.25,0.5,2.0982768142031176,0.035964034497737885
hamming,0.25,0.25,2.1003292326506457,0.02297702245414257
hamming,0.25,0.2,2.096765630019201,0.030969031155109406
hamming,0.25,0.1,2.098103124891717,0.035964034497737885
hamming,0.5,1.0,1.9196967140846712,0.035964034497737885
hamming,0.5,0.9,1.8281566924730115,0.03196803107857704
hamming,0.5,0.8,1.953973127559651,0.03896103799343109
hamming,0.5,0.75,1.9672218457233719,0.0279720276594162
hamming,0.5,0.5,1.9275873894471707,0.032967034727334976
hamming,0.5,0.25,1.9472200159711612,0.026973027735948563
hamming,0.5,0.2,1.9430550715146007,0.025974025949835777
hamming,0.5,0.1,1.9432074833788866,0.026973027735948563
hamming,1.0,1.0,1.9102453321434636,0.023976024240255356
hamming,1.0,0.9,1.9228050356927948,0.017982017248868942
hamming,1.0,0.8,1.9371531730362306,0.016983017325401306
hamming,1.0,0.75,1.9335841858256937,0.018981019034981728
hamming,1.0,0.5,1.9396973185432003,0.023976024240255356
hamming,1.0,0.25,1.9332348797234908,0.028971029445528984
hamming,1.0,0.2,1.9339064962277572,0.01498501468449831
hamming,1.0,0.1,1.9338248466202825,0.02297702245414257
hamming,5.0,1.0,2.23211344833242,0.00799200776964426
hamming,5.0,0.9,2.183536760358834,0.009990010410547256
hamming,5.0,0.8,2.2068150830785798,0.009990010410547256
hamming,5.0,0.75,2.1349809608617996,0.010989011265337467
hamming,5.0,0.5,2.142311763593979,0.00799200776964426
hamming,5.0,0.25,2.117262840140006,0.01598401553928852
hamming,5.0,0.2,2.105754909810544,0.00699300691485405
hamming,5.0,0.1,2.108622967944681,0.017982017248868942
hamming,10.0,1.0,2.0946303618703745,0.01498501468449831
hamming,10.0,0.9,2.203024878660523,0.00699300691485405
hamming,10.0,0.8,2.1451861338390725,0.011988012120127678
hamming,10.0,0.75,2.159479459691994,0.01598401553928852
hamming,10.0,0.5,2.0994954245695654,0.011988012120127678
hamming,10.0,0.25,2.1285299494545353,0.01498501468449831
hamming,10.0,0.2,2.126965333697888,0.00699300691485405
hamming,10.0,0.1,2.125710718584196,0.010989011265337467
hamming,15.0,1.0,2.0946062722484178,0.012987012974917889
hamming,15.0,0.9,2.181383645220236,0.010989011265337467
hamming,15.0,0.8,2.2991670321177162,0.004995005205273628
hamming,15.0,0.75,2.261817868967267,0.00799200776964426
hamming,15.0,0.5,2.152744978918299,0.0139860138297081
hamming,15.0,0.25,2.1507394745859756,0.010989011265337467
hamming,15.0,0.2,2.143804925307298,0.01498501468449831
hamming,15.0,0.1,2.1477784826922712,0.008991008624434471
hamming,20.0,1.0,2.0156360712677888,0.005994006060063839
hamming,20.0,0.9,2.084801624512086,0.004995005205273628
hamming,20.0,0.8,2.1334135782314037,0.0139860138297081
hamming,20.0,0.75,2.126558217941059,0.010989011265337467
hamming,20.0,0.5,2.150716085334941,0.009990010410547256
hamming,20.0,0.25,2.1695869487060104,0.017982017248868942
hamming,20.0,0.2,2.1693125122293204,0.010989011265337467
hamming,20.0,0.1,2.185001322440549,0.00799200776964426
hamming,25.0,1.0,2.1316629743161717,0.01598401553928852
hamming,25.0,0.9,2.1527622239337765,0.011988012120127678
hamming,25.0,0.8,2.176956611056858,0.00799200776964426
hamming,25.0,0.75,2.1896120425059253,0.008991008624434471
hamming,25.0,0.5,2.1873775843189227,0.010989011265337467
hamming,25.0,0.25,2.2326307399310705,0.008991008624434471
hamming,25.0,0.2,2.202682495855598,0.011988012120127678
hamming,25.0,0.1,2.2189971560798027,0.00799200776964426
hamming,30.0,1.0,2.1764951072555583,0.012987012974917889
hamming,30.0,0.9,2.2135778254317175,0.00699300691485405
hamming,30.0,0.8,2.218899353383305,0.011988012120127678
hamming,30.0,0.75,2.2284056589573793,0.012987012974917889
hamming,30.0,0.5,2.2040395335543077,0.009990010410547256
hamming,30.0,0.25,2.2342262187102357,0.005994006060063839
hamming,30.0,0.2,2.2373075127784214,0.011988012120127678
hamming,30.0,0.1,2.2506873039225184,0.004995005205273628
hamming,60.0,1.0,2.311267096913761,0.005994006060063839
hamming,60.0,0.9,2.311267096913761,0.00699300691485405
hamming,60.0,0.8,2.311267096913761,0.00699300691485405
hamming,60.0,0.75,2.311267096913761,0.005994006060063839
hamming,60.0,0.5,2.311267096913761,0.00399600388482213
hamming,60.0,0.25,2.311267096913761,0.005994006060063839
hamming,60.0,0.2,2.311267096913761,0.005994006060063839
hamming,60.0,0.1,2.311267096913761,0.00799200776964426
blackman,0.05,1.0,1.5270216109885084,0.12487512826919556
blackman,0.05,0.9,1.5602554839274152,0.10489510744810104
blackman,0.05,0.8,1.5602554839274152,0.10489510744810104
blackman,0.05,0.75,1.5389233578738786,0.12787212431430817
blackman,0.05,0.5,1.5414639913843895,0.09590409696102142
blackman,0.05,0.25,1.53824845408132,0.13886113464832306
blackman,0.05,0.2,1.53824845408132,0.11988011747598648
blackman,0.05,0.1,1.53824845408132,0.11388611048460007
blackman,0.1,1.0,1.9635386864676292,0.04795204848051071
blackman,0.1,0.9,1.8882718374380676,0.056943055242300034
blackman,0.1,0.8,1.9293959345249834,0.05294705182313919
blackman,0.1,0.75,1.9461988709614564,0.06293706595897675
blackman,0.1,0.5,1.8934128718575025,0.049950048327445984
blackman,0.1,0.25,1.9081504286443618,0.05994005873799324
blackman,0.1,0.2,1.9081504286443618,0.05294705182313919
blackman,0.1,0.1,1.9083589752969219,0.04795204848051071
blackman,0.25,1.0,2.065970525373622,0.030969031155109406
blackman,0.25,0.9,2.137059805507578,0.028971029445528984
blackman,0.25,0.8,2.0863164180121743,0.023976024240255356
blackman,0.25,0.75,2.073061379387296,0.03396603465080261
blackman,0.25,0.5,2.089685905160456,0.019980020821094513
blackman,0.25,0.25,2.0964978082755525,0.02997002936899662
blackman,0.25,0.2,2.0919831286096944,0.0419580414891243
blackman,0.25,0.1,2.090833993953636,0.025974025949835777
blackman,0.5,1.0,1.9509434534472385,0.0279720276594162
blackman,0.5,0.9,1.8052433693098218,0.04595404490828514
blackman,0.5,0.8,2.002662020843209,0.024975024163722992
blackman,0.5,0.75,1.9943310658606015,0.03196803107857704
blackman,0.5,0.5,1.9488596533283757,0.019980020821094513
blackman,0.5,0.25,1.9770462299351557,0.0279720276594162
blackman,0.5,0.2,1.9772815326574107,0.019980020821094513
blackman,0.5,0.1,1.975039002488456,0.037962038069963455
blackman,1.0,1.0,1.8936610898147628,0.032967034727334976
blackman,1.0,0.9,1.9502967965787097,0.02097902074456215
blackman,1.0,0.8,1.908163438794739,0.018981019034981728
