window_length_fraction,hop_fraction,window_function,SS_time,SS_treatment,SS_sex,SS_order,SS_residuals,p_time,p_treatment,p_sex,p_order
0.3,1,blackman,1.6883837105958355,4.1059832654553405,8.783343101102137,8.403111165971097,78.50300320939151,0.13286713286713286,0.04395604395604396,0.000999000999000999,0.16883116883116883
0.3,0.9,boxcar,2.150642681355321,6.630734221526311,8.532955356082027,5.359177993188694,82.5132878757488,0.08091908091908091,0.011988011988011988,0.000999000999000999,0.7552447552447552
0.3,0.9,hann,2.1778220492431903,5.3211538215827465,9.425095746907697,5.276263241640445,81.10660088877447,0.08191808191808192,0.023976023976023976,0.000999000999000999,0.7362637362637363
0.3,0.9,blackman,2.0333765588008883,4.559308749991276,9.170744859250924,5.527157151826909,82.53400088442835,0.09090909090909091,0.03496503496503497,0.000999000999000999,0.7442557442557443
0.3,0.8,boxcar,3.3408230837283543,6.348787684958693,9.070437524983722,6.088206969045229,81.25035395916613,0.029970029970029972,0.01098901098901099,0.001998001998001998,0.5584415584415584
0.3,0.8,hann,2.496957185128566,5.688007745035401,8.384416071948353,4.739154145577163,82.95835670324271,0.06493506493506493,0.023976023976023976,0.001998001998001998,0.8471528471528471
0.3,0.8,blackman,3.4056081365257,6.265077653092782,8.93944316496398,5.32816653257952,82.67817807220031,0.029970029970029972,0.01098901098901099,0.000999000999000999,0.7272727272727273
0.3,0.7,boxcar,1.6959149499714148,5.675175663578791,7.677044456111222,10.977372076089836,77.77376611526495,0.13286713286713286,0.007992007992007992,0.000999000999000999,0.029970029970029972
0.3,0.7,hann,1.8782107781234192,5.421624383207649,7.46033137711231,8.75800269925959,79.85088312382497,0.12387612387612387,0.023976023976023976,0.000999000999000999,0.15584415584415584
0.3,0.7,blackman,1.9517462104089687,5.3304939735140024,7.189751538552841,6.31913121452529,81.97471877954602,0.09490509490509491,0.023976023976023976,0.000999000999000999,0.5224775224775224
0.3,0.6,boxcar,2.0041479063336927,6.087962005451613,8.749920724536054,6.62032663800515,81.55451858869601,0.07892107892107893,0.008991008991008992,0.000999000999000999,0.5144855144855145
0.3,0.6,hann,1.7699904168420901,5.5446088973240135,7.592497083151652,10.770392298325042,77.37354408868744,0.12287712287712288,0.017982017982017984,0.000999000999000999,0.04095904095904096
0.3,0.6,blackman,1.872103534613883,5.409581955169026,7.098356259405249,10.999382374906137,77.14169719223032,0.09490509490509491,0.017982017982017984,0.000999000999000999,0.04795204795204795
0.3,0.5,boxcar,2.1926388668025703,6.997806168478485,9.447395467969653,6.133438825416158,79.5656459160061,0.0959040959040959,0.005994005994005994,0.000999000999000999,0.5694305694305695
0.3,0.5,hann,2.5471291961234894,5.09548183823922,8.955240449114637,7.595353321796075,78.96868602171871,0.04995004995004995,0.017982017982017984,0.000999000999000999,0.2787212787212787
0.3,0.5,blackman,2.0630725301760617,4.8574098366628276,7.16475539089465,7.777455489353868,80.21489801347266,0.07492507492507493,0.02097902097902098,0.000999000999000999,0.24675324675324675
0.3,0.4,boxcar,2.624070300189334,6.053155409562395,9.847600698660138,6.651001009154626,77.60591559421812,0.05094905094905095,0.007992007992007992,0.000999000999000999,0.4255744255744256
0.3,0.4,hann,1.8307147654950968,6.046032733153315,8.68199685919192,8.665863951912247,76.72579677957144,0.0959040959040959,0.007992007992007992,0.000999000999000999,0.14285714285714285
0.3,0.4,blackman,2.388392905736381,6.379450275831553,8.786878472019504,9.1943118434068,76.87662420009016,0.053946053946053944,0.002997002997002997,0.000999000999000999,0.11188811188811189
0.3,0.3,boxcar,2.0373803100145116,6.7286349328975605,9.83524566581599,6.797261611736509,77.93649873816798,0.0899100899100899,0.005994005994005994,0.000999000999000999,0.4015984015984016
0.3,0.3,hann,1.9976545544296318,5.849724567546976,8.60568715988839,8.487712827501099,76.53247159920284,0.06393606393606394,0.007992007992007992,0.000999000999000999,0.13686313686313686
0.3,0.3,blackman,1.981191549500756,5.596653064236092,7.621291801160772,9.113644944116968,77.6321504494783,0.0919080919080919,0.004995004995004995,0.001998001998001998,0.11388611388611389
0.3,0.2,boxcar,2.0004630734326256,6.671807219921957,8.935307440512975,8.149394026675134,75.84236357329192,0.08291708291708291,0.002997002997002997,0.001998001998001998,0.17382617382617382
0.3,0.2,hann,1.4060227333141864,5.568870143573558,8.798359413485073,9.670030677129766,74.01833505924725,0.17282717282717283,0.00999000999000999,0.000999000999000999,0.053946053946053944
