window_length_fraction,hop_fraction,window_function,Mean_SS,Mean_perc_SS,SS_time,SS_treatment,SS_sex,SS_order,SS_residuals,F_time,F_treatment,F_sex,F_order,F_residuals,p_time,p_treatment,p_sex,p_order,dist_time,dist_treatment,dist_sex,dist_order
1,0.6,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.3436563436563437,0.005994005994005994,0.004995004995004995,0.6493506493506493,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.6,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.43456543456543456,0.004995004995004995,0.024975024975024976,0.6243756243756243,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.6,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.34765234765234765,0.005994005994005994,0.01898101898101898,0.5404595404595405,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.5,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.35064935064935066,0.004995004995004995,0.00999000999000999,0.6543456543456544,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.5,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.4175824175824176,0.004995004995004995,0.02197802197802198,0.6533466533466533,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.5,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.35764235764235763,0.01098901098901099,0.02097902097902098,0.5574425574425574,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.4,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.34665334665334663,0.011988011988011988,0.015984015984015984,0.6373626373626373,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
1,0.4,hann,111890.22302884689,38.946532878187625,0.6137416905919568,6.638720559768292,2.941613255369069,4.1417178927099245,59.39692235159686,0.8679625133529897,4.694288061926363,4.1600726715827685,0.8367540395160376,nan,0.42957042957042957,0.002997002997002997,0.022977022977022976,0.6263736263736264,10.879088143935988,76.95412388030704,19.924378955990964,601.1648962472186
1,0.4,blackman,110818.65048877093,39.59519309946515,0.7008275445331364,6.172292810531179,2.9875770223278386,4.37645493063443,56.69036149014618,1.0384395546854304,4.572846092847186,4.426792549544057,0.9263913262705451,nan,0.3946053946053946,0.003996003996003996,0.01998001998001998,0.5394605394605395,11.584662985864073,78.88013711841452,20.235662153473292,649.9387583672092
1,0.3,boxcar,119952.25458219381,42.79471006845018,0.6180019255008664,4.692762328973723,3.1053185548124027,3.4620056667570043,52.12972257346679,0.9958265492188759,3.7808760163480155,5.003801012687696,0.7969362956523642,nan,0.35364635364635366,0.004995004995004995,0.006993006993006993,0.6273726273726273,12.868211353550604,73.24410562078552,21.11381104484914,573.3863979398269
