window_length_fraction,hop_fraction,window_function,Mean_SS,Mean_perc_SS,SS_time,SS_treatment,SS_sex,SS_order,SS_residuals,SS_null,F_time,F_treatment,F_sex,F_order,F_residuals,F_null,p_time,p_treatment,p_sex,p_order,p_null,dist_time,dist_treatment,dist_sex,dist_order,dist_null
0.5,1,blackman,230491.6281231497,60.946520867272,0.7900845381834958,3.1193116195340638,3.500895770432408,0.7865455812792694,2.0953284633418114,30.507878763985158,2.097715416006309,4.140967045544506,9.29505979746403,0.7947436737510419,0.6961064339750307,nan,0.11688311688311688,0.001998001998001998,0.000999000999000999,0.7262737262737263,0.7422577422577422,-0.01382428297248089,-0.07678684950688086,0.0020516831221026174,-0.1704493007638875,-0.0529073531360472
0.5,0.9,boxcar,237530.31773177092,66.23267407476871,0.9507775655528093,2.4638572656001805,3.464441886586389,1.860051487836626,3.4774953734421508,28.596136949254948,2.6931254017436115,3.489499978052357,9.813206354112419,1.4071687162733213,1.7562298803054721,nan,0.052947052947052944,0.003996003996003996,0.000999000999000999,0.10789210789210789,0.12287712287712288,-0.005553270340559212,-0.06900505858109295,0.0016704452008829776,-0.1595066791109017,-0.08839652682189558
0.5,0.9,hann,237722.60663884546,61.802041079106274,0.6258799796274921,2.5903419402872983,3.8175168484386917,1.1807856912357613,2.208234261560776,29.59383961281724,1.7130686322929873,3.5449556378686,10.448757875595492,0.8634373018486237,1.077292236508494,nan,0.14685314685314685,0.004995004995004995,0.000999000999000999,0.6573426573426573,0.46053946053946054,-0.012612255701333194,-0.07936079950432197,0.003832000307935466,-0.16499998586984874,-0.06867843870199176
0.5,0.9,blackman,236177.18499333903,62.14409249890428,0.599894053300469,3.0529047308131845,3.8892091098348915,0.9627142349048163,2.4708736917481007,30.660071414379093,1.584843611765019,4.032692550740358,10.274794655203706,0.9325333280103248,0.8477894258993669,nan,0.2077922077922078,0.000999000999000999,0.000999000999000999,0.5344655344655345,0.6483516483516484,-0.015730249597670515,-0.07992274852388175,0.008500623634331727,-0.16554509230696338,-0.10808915567629446
0.5,0.8,boxcar,88659.0993450356,40.70986082317713,1.3955110191843856,2.766527979977526,3.061776962789988,1.8020328586549343,13.2415712889619,43.967902869774214,2.5708843309795935,2.5483222049718193,5.640567727793076,3.4849034487163575,1.1066001334607904,nan,0.052947052947052944,0.024975024975024976,0.001998001998001998,0.000999000999000999,0.4485514485514486,-0.013416482686025924,-0.0816681904570031,0.029213966804504818,-0.1839684920184599,-0.09513607853148785
0.5,0.8,hann,158600.09789166995,54.261563088430634,0.8146095326835058,3.1757717727011867,4.182757295980066,0.5396920507308449,6.378104267946178,33.475351401478996,1.9711031963789547,3.842192879526142,10.120979371090828,2.2047200363190846,0.435295964334194,nan,0.0939060939060939,0.001998001998001998,0.000999000999000999,0.003996003996003996,0.9370629370629371,-0.010178023192458903,-0.07053189676977889,0.009481622797450757,-0.1689509087735187,-0.095251305104005
0.5,0.8,blackman,186892.36722321977,58.757442127458035,0.9064547136477878,3.0814550785474735,4.201033305405737,0.2429362512163619,3.844644712402353,32.20495525940733,2.2798613199135995,3.8751468423393605,10.566190668389924,1.381403306222233,0.2036729667843818,nan,0.08491508491508491,0.005994005994005994,0.000999000999000999,0.12987012987012986,0.995004995004995,-0.014531609109259436,-0.08065102023811253,0.009314504968034707,-0.16182451582012128,-0.08025168371845533
0.5,0.7,boxcar,106433.37641163717,45.2621414148215,0.6709146715962991,3.16024050060013,3.451495998141627,0.5728535300910836,5.04499709877485,45.153332018026965,1.2035454742875666,2.834558039331556,6.191595688616205,1.2928796383892744,0.3425449379081086,nan,0.27672327672327673,0.024975024975024976,0.004995004995004995,0.24475524475524477,0.981018981018981,-0.01137870304903583,-0.09713205284059707,0.004156158727790256,-0.1722387357507058,-0.06437503685669459
0.5,0.7,hann,89324.92430983028,39.53844644279692,1.1514143459029287,3.345759510612682,3.636236261884774,0.8508835751161861,11.90819678846057,43.68617497972261,2.1348758974990814,3.101742375996728,6.742067424062148,3.1541980641735172,0.5258839103858504,nan,0.11388611388611389,0.01098901098901099,0.000999000999000999,0.000999000999000999,0.8761238761238761,-0.011579677060191718,-0.08185822298259172,-0.0010983029395957439,-0.1883727869004895,-0.08655345627111703
0.5,0.7,blackman,97975.67613477669,41.45349469143287,1.499635453045383,4.160774478433779,4.415943446199155,2.3343181447557053,10.806372017712157,41.66605540772345,2.915334089297053,4.044332124257959,8.584719999096144,3.0011279132524167,1.5126603488536876,nan,0.05194805194805195,0.001998001998001998,0.001998001998001998,0.000999000999000999,0.24575424575424576,-0.008488776458245847,-0.09444097474625708,-0.004735590297119411,-0.17786644723931666,-0.08520169961067812
